Attendance,Internal_Marks,Assignment_Completion,Study_Hours,Previous_CGPA,Backlogs,Participation,Result_Risk
90.3,60.3,100.0,3.46,7.62,0,Medium,Low
67.6,70.1,50.5,5.53,7.64,2,Low,Medium
53.6,55.0,77.8,6.23,8.57,1,Medium,Low
85.9,37.3,69.2,4.04,4.76,1,Medium,Medium
92.1,67.5,67.1,4.74,5.73,2,Low,Medium
72.6,65.9,100.0,2.21,8.47,2,Medium,Low
55.7,92.4,87.8,0.26,8.75,1,Medium,Low
79.0,51.0,85.8,3.1,6.03,0,Medium,Low
97.9,58.9,63.4,3.62,8.36,1,Medium,Low
46.9,44.8,55.5,5.36,8.06,3,High,Medium
82.2,28.2,78.3,6.89,5.36,1,Low,Medium
70.3,56.4,66.8,3.66,6.28,0,Low,Medium
62.2,70.3,61.0,5.22,7.41,1,Low,Low
82.5,36.8,85.9,4.93,6.92,2,Medium,Medium
55.5,42.9,48.4,3.59,9.18,0,Medium,Low
79.5,33.9,58.0,4.51,7.74,3,Medium,High
94.7,79.1,88.3,3.85,8.09,2,Medium,Low
77.7,43.6,70.9,5.6,6.22,0,Low,Low
61.9,65.4,85.9,1.69,5.53,2,High,High
48.3,39.4,55.6,0.0,6.28,0,High,High
55.8,56.4,86.7,3.48,8.7,1,Medium,Low
47.4,43.7,58.5,4.67,9.23,1,Low,Medium
99.0,12.7,99.7,4.86,6.03,2,Low,Medium
71.3,56.4,88.5,2.43,6.84,1,Medium,Medium
59.3,64.5,82.0,4.1,4.01,1,High,Medium
55.5,17.5,100.0,2.31,8.56,1,Low,High
59.0,51.9,79.7,4.31,5.49,1,High,Medium
70.0,47.2,60.1,2.17,8.08,1,Low,High
55.8,35.6,100.0,1.68,8.55,2,Medium,High
100.0,50.5,79.7,4.7,5.4,3,Medium,Medium
63.8,20.1,97.2,1.41,5.96,2,Low,High
63.3,59.5,75.9,1.08,7.87,0,Low,Medium
79.6,76.3,96.1,4.48,8.65,1,Medium,Low
96.8,32.3,55.6,3.44,6.37,2,Medium,Medium
94.9,53.8,47.7,0.0,5.75,1,Medium,High
67.7,80.7,44.9,5.07,7.42,2,Medium,Medium
78.8,57.2,88.1,1.45,8.53,2,Medium,Medium
77.2,45.7,33.7,2.61,5.67,0,Medium,High
82.9,38.6,37.4,3.12,6.05,2,Medium,High
78.8,58.2,44.7,6.32,8.4,2,Medium,Low
60.8,52.6,77.6,3.26,7.24,1,Medium,Medium
56.1,66.4,81.8,4.65,6.01,0,Low,Medium
77.6,27.6,56.8,3.09,7.0,2,Low,High
57.2,74.4,88.8,4.06,7.58,1,High,Low
95.4,47.7,79.4,1.18,8.24,0,High,Low
75.6,66.6,97.3,3.3,7.36,2,Low,Medium
59.6,42.0,92.0,2.38,6.98,1,Low,High
70.2,31.6,59.3,1.78,4.98,2,Low,High
67.4,44.8,77.1,3.74,7.65,2,Medium,Medium
73.0,37.8,69.8,4.86,7.62,0,Medium,Low
89.2,48.3,82.4,4.01,7.25,0,Medium,Low
53.3,66.7,77.2,2.82,7.02,2,Medium,Medium
47.0,74.4,73.7,4.4,7.15,1,Medium,Medium
80.1,58.7,87.4,1.63,8.15,0,Medium,Low
72.3,45.3,74.4,3.77,6.55,0,Low,Medium
77.4,46.9,87.9,4.08,5.55,1,Low,Medium
81.7,65.7,73.9,3.17,8.08,2,High,Low
72.3,75.5,70.1,2.92,6.54,0,Low,Low
87.0,49.2,91.7,3.48,6.66,2,Low,Medium
61.6,52.7,92.3,2.45,7.51,0,High,Low
76.0,41.5,98.0,2.97,6.69,0,Medium,Low
62.5,58.7,85.8,4.4,6.91,1,High,Low
58.1,72.2,69.0,0.42,5.65,1,Medium,High
84.2,2.7,77.1,5.17,8.56,0,Medium,Low
83.5,59.6,76.4,3.98,5.38,2,Medium,Medium
45.9,45.1,38.2,3.62,8.58,0,Low,Medium
58.2,13.1,50.9,1.79,5.47,0,Medium,High
79.4,60.6,100.0,2.68,6.14,0,Medium,Low
91.1,53.4,72.1,2.4,6.48,0,Low,Low
65.0,61.6,16.4,4.31,8.05,1,Medium,Medium
72.2,30.4,70.9,4.23,7.23,2,Low,High
53.8,93.5,76.5,5.02,6.44,2,Low,Medium
100.0,57.0,48.7,3.38,5.49,1,Medium,Medium
82.1,48.8,100.0,0.26,8.19,3,Low,High
88.4,82.4,95.7,1.84,7.03,2,Low,Low
84.9,66.7,89.5,2.73,7.49,0,Low,Low
89.0,70.0,69.5,3.77,6.76,2,Medium,Medium
84.1,75.9,82.9,1.02,6.38,0,Low,Low
70.0,17.7,90.1,2.97,7.79,1,Low,Medium
86.2,85.0,82.7,3.36,7.35,1,Low,Low
76.2,48.7,59.9,2.37,8.36,0,Medium,Low
94.4,60.1,77.0,2.98,7.23,1,Medium,Low
64.0,71.6,75.8,6.66,5.29,2,Low,Medium
66.9,42.2,79.0,3.23,7.91,0,Medium,Low
84.9,60.7,52.4,6.21,7.05,0,Medium,Low
94.2,68.7,78.4,3.61,6.71,1,Low,Low
77.2,54.2,73.2,2.19,3.26,1,High,High
64.3,63.9,77.8,4.07,5.95,0,Low,Medium
73.2,26.1,77.1,2.63,7.19,0,Medium,Medium
67.5,33.5,44.3,3.14,6.24,2,Low,High
100.0,34.3,90.1,0.0,7.3,3,Medium,High
88.5,61.7,87.9,3.76,7.71,1,High,Low
94.0,100.0,46.2,2.36,6.97,0,Low,Low
79.5,59.7,71.0,4.92,5.87,1,High,Low
66.7,52.3,55.9,3.4,7.51,0,Medium,Low
92.6,53.8,63.8,2.66,7.43,0,Medium,Low
99.8,72.7,92.8,1.66,6.7,0,Low,Low
83.7,67.9,83.4,3.26,4.71,3,High,High
74.6,34.4,100.0,2.66,5.5,1,High,Medium
91.2,73.3,74.6,2.06,7.95,2,High,Low
69.4,54.6,50.4,6.01,6.68,1,Medium,Low
86.5,69.7,74.9,3.0,4.83,1,High,Medium
64.3,19.0,23.9,4.55,6.77,1,Low,High
60.4,27.0,100.0,5.4,7.04,1,Medium,Medium
83.5,65.7,77.7,3.82,7.75,3,High,Medium
80.1,22.6,81.3,4.15,7.51,2,Medium,Medium
100.0,62.0,75.4,3.97,7.44,2,Low,Low
70.8,61.1,55.3,4.64,6.06,2,Medium,High
75.4,57.6,69.9,4.07,4.97,0,Medium,Medium
57.9,61.4,56.6,3.95,6.24,0,High,Low
47.0,59.8,62.0,3.41,8.63,1,High,Low
48.3,63.1,78.7,2.49,5.16,1,Low,High
81.9,47.7,48.0,2.56,8.05,1,Medium,Medium
57.4,54.6,100.0,2.26,5.17,0,High,Low
91.9,100.0,50.6,3.49,5.41,1,Medium,Low
96.3,75.5,88.3,5.15,7.1,1,Low,Low
70.7,66.0,59.0,1.8,5.99,2,Medium,High
99.9,62.1,46.8,2.3,6.68,2,Low,Medium
78.4,41.9,79.2,1.74,5.58,0,High,Medium
91.9,59.1,74.7,3.12,7.12,2,Medium,Medium
71.6,50.6,66.9,4.72,7.99,0,Low,Low
89.4,72.0,70.1,2.71,5.21,0,Medium,Low
60.9,38.5,58.8,3.65,7.62,1,Medium,Medium
84.3,12.5,79.6,0.0,7.41,4,Medium,High
68.1,44.9,61.5,2.98,7.91,0,Medium,Low
73.0,67.5,71.4,3.92,4.22,1,Low,High
84.5,99.3,93.0,2.29,8.04,3,Medium,Low
77.6,73.5,44.5,0.78,5.57,0,Medium,Medium
73.9,37.4,59.4,3.88,6.66,0,Low,Medium
85.9,51.1,57.3,3.04,6.42,1,Low,Medium
87.0,37.9,54.8,5.89,5.73,2,Medium,Medium
54.2,51.6,43.8,2.34,5.92,1,Medium,High
83.4,38.8,65.1,2.97,6.08,1,Medium,High
85.1,25.4,73.5,2.63,7.16,0,Low,Medium
63.7,63.0,68.2,3.35,7.83,2,Medium,Medium
80.8,58.5,38.6,0.5,6.59,0,Medium,Medium
55.1,51.9,83.9,5.21,7.89,2,Medium,Medium
96.6,61.2,84.4,4.14,7.13,1,High,Low
71.4,91.6,71.7,2.86,8.33,0,Low,Low
73.8,57.1,50.4,2.66,5.36,1,Low,High
93.0,48.2,53.2,3.97,7.12,1,Medium,Low
72.9,70.6,100.0,3.73,6.9,1,High,Low
84.0,25.4,100.0,2.58,7.11,3,High,High
59.3,68.6,79.6,2.95,7.37,1,Medium,Medium
66.5,41.1,52.0,3.71,7.91,2,Low,High
54.1,40.3,95.2,2.57,7.12,1,Medium,Medium
71.9,57.0,73.7,2.71,7.57,1,Low,Medium
90.5,85.1,100.0,2.57,6.6,1,High,Low
78.4,41.6,58.7,2.67,6.77,1,High,Low
88.3,72.1,79.4,1.28,6.19,1,Medium,Low
59.6,61.8,65.9,1.8,8.23,0,High,Low
61.8,30.0,85.0,3.75,7.88,0,Medium,Low
68.0,71.5,57.5,4.37,8.48,0,Medium,Low
83.6,40.1,88.3,3.12,6.39,2,High,Medium
80.3,28.5,62.4,0.0,6.73,2,Medium,High
74.8,40.8,52.4,1.01,9.9,1,Medium,Medium
84.3,41.9,81.4,3.81,8.23,4,Medium,High
72.7,65.7,74.7,5.7,5.21,5,Medium,High
74.7,41.8,28.0,4.99,7.83,0,High,Low
94.6,81.9,69.2,2.9,7.36,0,Low,Low
66.2,59.0,72.1,2.68,6.54,1,High,Medium
77.7,42.1,73.7,2.57,6.61,2,Low,High
99.2,40.0,100.0,5.78,5.93,0,Medium,Low
76.5,59.1,57.2,3.55,6.31,3,High,Medium
85.6,18.5,69.7,1.84,6.02,2,High,High
65.9,15.8,36.2,4.61,5.55,2,Low,High
100.0,39.1,41.0,4.44,6.48,0,Medium,Low
41.3,66.3,58.6,0.22,5.89,1,Low,High
58.0,58.2,67.4,2.27,7.8,1,Low,Medium
59.2,55.4,66.1,4.7,8.18,1,High,Low
99.3,51.1,82.7,4.56,6.76,0,Medium,Low
80.3,15.8,84.6,1.37,6.54,0,Medium,Medium
71.1,49.1,90.1,3.21,7.7,1,Low,Medium
55.8,23.0,66.7,4.51,6.8,0,Low,Medium
80.5,70.0,79.8,3.72,9.36,1,High,Low
76.7,54.8,55.7,1.66,3.78,1,High,High
64.6,53.4,77.2,2.94,4.14,0,High,Medium
52.6,62.2,79.6,4.2,5.62,1,High,Medium
58.5,60.8,60.0,3.95,7.51,0,Medium,Low
78.2,59.2,5.9,1.8,7.88,2,High,High
79.7,61.3,57.0,6.69,6.38,0,Medium,Low
76.1,44.4,100.0,3.55,6.97,1,Low,Medium
72.7,31.0,68.0,1.0,6.6,1,Low,High
48.5,61.1,57.3,2.74,7.53,4,Medium,High
75.7,81.0,72.1,0.0,9.37,1,Medium,Low
59.5,73.2,92.2,2.21,4.23,0,Medium,Medium
75.6,51.1,76.6,3.17,9.62,2,Medium,Low
82.0,66.0,65.9,6.79,8.22,3,Low,Low
64.9,47.1,44.4,3.52,6.58,2,Low,High
59.7,61.9,64.0,3.78,7.55,0,High,Low
89.9,44.1,46.1,4.36,6.93,1,Medium,Low
80.3,57.5,77.0,3.55,7.53,2,High,Low
65.5,91.0,100.0,2.36,7.53,0,Medium,Low
30.0,68.9,91.0,5.25,7.89,2,Low,Medium
74.3,82.0,58.1,4.01,5.76,0,Medium,Low
84.4,41.1,50.3,5.52,7.69,1,High,Low
91.8,42.7,42.1,4.76,6.17,3,Low,High
64.8,54.3,78.8,1.86,6.61,0,High,Low
65.4,65.0,81.3,2.57,7.92,1,Medium,Low
68.4,51.2,85.7,2.65,6.43,1,Low,Medium
87.6,73.2,76.7,2.68,7.33,2,High,Low
57.4,45.1,45.7,3.91,7.36,0,Medium,Medium
73.3,79.5,31.5,2.99,7.09,1,Low,Medium
61.1,72.4,92.1,2.08,5.51,3,High,High
79.0,34.9,53.1,5.42,7.56,1,High,Low
51.7,65.5,100.0,5.26,7.19,2,Medium,Medium
80.6,51.0,27.7,3.31,9.65,1,Medium,Medium
67.6,73.3,47.7,1.7,5.72,1,Medium,High
71.6,45.3,51.1,2.35,8.24,0,High,Low
82.9,60.6,75.0,2.15,6.47,2,Medium,Medium
92.2,64.8,83.0,1.95,6.62,1,Medium,Low
49.5,5.4,58.7,1.83,9.03,0,Low,High
90.1,21.2,81.6,3.61,6.82,1,High,Low
83.4,57.3,43.7,3.7,7.94,0,High,Low
70.6,52.7,59.7,3.9,7.14,1,Medium,Medium
96.1,73.3,45.4,1.89,5.9,3,High,Medium
77.8,59.1,58.5,3.7,6.72,0,Low,Medium
94.4,32.1,56.8,6.19,6.46,2,Medium,Medium
66.1,60.9,75.7,3.61,6.72,0,High,Low
62.0,41.5,100.0,2.69,9.23,1,Low,Low
93.4,50.9,42.2,7.28,7.55,2,Medium,Low
100.0,45.8,65.6,3.73,4.91,0,Medium,Medium
84.5,61.3,83.2,2.35,9.25,3,Medium,Medium
88.4,29.4,71.0,4.57,7.44,1,Low,Medium
67.9,34.8,97.9,2.22,8.07,0,High,Low
55.1,15.0,49.1,2.74,8.87,3,Medium,High
71.6,93.6,85.1,4.75,6.0,2,High,Low
97.5,37.0,53.9,2.38,7.39,1,Medium,Medium
47.1,39.5,85.9,1.09,6.82,1,Low,High
67.6,34.2,72.9,4.31,6.58,0,Low,Medium
46.3,43.4,74.5,4.5,6.63,1,Low,High
76.6,47.1,57.8,1.25,7.12,0,Low,Medium
88.1,66.1,32.6,2.76,8.4,1,Medium,Low
56.4,58.2,47.5,4.87,7.93,1,Medium,Low
68.9,60.9,83.7,3.65,7.35,0,Medium,Low
94.9,44.4,64.3,4.51,8.44,1,Low,Low
73.7,53.7,84.3,3.11,4.22,0,Medium,Medium
56.4,76.9,43.1,2.36,7.05,0,Low,Medium
55.3,54.6,82.4,2.46,7.43,1,High,Low
44.8,60.5,89.7,2.83,7.38,1,Medium,Medium
86.6,18.5,25.4,3.55,8.71,1,Medium,Medium
63.8,64.3,76.0,0.0,7.21,0,Medium,Medium
90.8,59.6,100.0,0.48,8.66,0,High,Low
88.0,78.2,54.5,3.31,6.8,3,High,Medium
65.1,5.5,89.6,4.28,7.84,0,High,Low
67.1,55.4,70.4,2.33,7.14,2,Medium,Medium
86.7,52.7,86.7,3.31,6.71,1,Medium,Low
77.2,56.4,61.9,1.72,7.64,0,Medium,Low
79.0,43.5,54.2,1.28,7.7,0,Medium,Low
50.3,58.6,61.1,3.54,5.94,0,Medium,Medium
88.5,67.4,62.4,3.2,8.15,4,Medium,High
61.9,55.5,57.9,2.56,6.7,2,Medium,High
41.0,49.4,52.1,1.39,7.13,3,High,High
65.7,50.9,91.7,3.41,3.79,2,High,High
81.3,47.7,58.1,3.21,6.98,1,Medium,Medium
100.0,55.4,45.6,2.93,4.72,1,Medium,Medium
69.4,41.8,51.0,3.12,8.05,1,Medium,Medium
55.1,18.8,79.5,2.76,6.08,0,High,Medium
100.0,79.0,25.2,4.06,6.49,0,High,Low
77.4,23.0,79.7,3.88,6.8,2,Low,High
71.1,52.5,84.0,5.9,5.42,1,Medium,Medium
58.9,31.1,95.2,5.35,7.05,1,High,Medium
59.9,49.4,60.9,3.22,5.54,1,Low,High
97.2,37.2,53.4,1.49,6.76,1,Medium,Medium
70.9,53.7,73.2,4.2,8.04,0,Medium,Low
66.9,39.4,72.6,2.4,8.55,0,High,Low
67.4,31.1,96.0,5.5,8.73,2,Medium,Low
98.5,60.0,70.9,1.1,6.74,2,Low,High
66.2,78.5,61.3,2.64,5.86,2,Low,High
84.4,60.7,43.2,5.51,7.6,0,Medium,Low
79.0,56.4,65.6,3.27,8.89,2,Medium,Low
78.6,35.5,71.3,4.32,5.96,2,Low,High
61.8,52.9,93.4,4.23,8.64,1,Low,Low
84.9,62.4,72.0,2.55,6.85,2,Low,Medium
99.1,42.6,96.8,4.49,3.84,1,Medium,Medium
74.2,70.5,94.7,1.99,7.09,0,High,Low
61.2,53.6,54.6,2.79,9.27,1,Medium,Low
55.6,60.7,47.1,6.35,7.88,1,Low,Low
77.9,45.4,57.2,2.99,8.29,1,High,Low
70.9,45.5,65.2,3.79,7.49,2,Low,High
73.4,58.2,53.7,1.69,4.99,2,Low,High
75.2,61.2,83.9,5.21,4.18,0,High,Low
52.9,60.5,83.4,1.91,5.73,1,High,Medium
86.7,35.9,94.1,2.17,6.55,0,Medium,Low
78.5,41.0,75.5,2.37,5.8,0,Medium,Medium
73.9,53.8,61.2,1.87,6.04,0,Medium,Medium
78.5,20.8,78.1,1.17,7.95,0,Low,Medium
88.9,73.0,51.8,2.82,8.77,1,Low,Low
75.8,59.9,72.9,2.53,4.97,1,Low,High
62.2,54.9,54.7,3.09,5.73,0,Medium,Medium
92.5,41.3,93.1,1.8,6.89,0,Low,Low
68.5,68.9,16.7,1.92,6.76,0,Low,Medium
64.1,49.2,86.9,2.77,4.18,2,Medium,High
51.6,88.3,87.6,3.23,10.0,1,Medium,Low
75.1,61.2,69.2,1.88,7.86,0,Medium,Low
59.3,27.3,76.7,3.18,7.44,1,High,Medium
67.2,67.2,74.1,2.88,4.69,0,Medium,Medium
81.7,44.6,95.9,4.76,7.36,1,Low,Low
75.5,44.7,100.0,4.15,5.59,2,High,Medium
90.2,49.7,70.2,3.95,7.62,0,Low,Low
79.6,51.7,100.0,4.69,7.36,0,High,Low
68.9,58.6,57.1,2.3,7.06,2,Medium,High
70.1,67.8,78.3,5.19,7.53,2,Medium,Low
67.4,62.2,78.8,3.49,6.31,0,Medium,Medium
84.7,41.0,44.8,2.51,7.22,1,Low,High
75.3,29.7,76.6,3.81,4.11,1,High,High
68.8,39.5,56.7,1.66,7.89,0,High,Medium
87.7,60.5,85.9,5.81,6.78,1,Medium,Low
76.4,69.6,52.2,3.59,10.0,3,Medium,Medium
68.0,86.4,34.5,1.05,7.13,2,Medium,High
52.3,29.7,44.0,1.58,4.18,4,Medium,High
81.6,55.4,70.4,2.48,8.85,2,Medium,Medium
78.6,49.8,76.2,2.41,6.12,1,Medium,Medium
75.8,46.7,76.8,3.88,5.64,3,Low,High
68.5,56.4,54.7,4.5,6.95,4,Medium,High
62.5,49.5,85.8,4.7,8.55,1,Medium,Low
71.6,49.2,59.0,4.01,9.35,2,Medium,Medium
78.5,42.3,65.6,1.86,6.54,1,Medium,Medium
73.1,61.1,89.6,4.85,7.27,1,Low,Low
72.8,72.9,66.8,5.0,7.28,1,Low,Medium
68.0,83.3,32.4,0.4,6.22,1,High,Medium
80.1,44.5,84.3,2.39,6.39,1,Medium,Medium
78.5,35.0,70.0,2.7,6.83,1,Medium,Medium
63.7,49.2,62.3,2.08,6.93,1,Low,High
86.4,38.9,95.7,4.73,8.29,1,Low,Low
86.9,72.5,57.4,3.88,4.67,2,High,Medium
87.2,39.2,83.0,3.3,7.58,1,High,Low
73.0,55.3,72.7,1.44,7.45,0,Medium,Low
72.1,29.8,100.0,0.22,8.66,0,Medium,Low
57.6,47.6,34.0,1.85,6.54,0,High,Medium
86.3,57.4,73.9,2.0,6.55,1,Low,Medium
43.0,81.5,76.9,1.89,7.13,3,Low,High
69.1,41.5,91.9,0.12,6.32,1,Medium,High
69.9,60.6,61.6,0.97,6.28,4,High,High
87.8,16.5,57.3,2.57,6.19,1,Low,High
75.0,32.2,97.8,3.68,6.2,1,Medium,Medium
60.5,39.3,61.4,2.42,5.76,2,Low,High
53.6,44.9,75.5,2.85,6.26,2,Low,High
64.1,61.7,68.9,3.08,6.05,0,Medium,Low
76.6,65.3,77.6,3.09,6.1,0,Medium,Low
75.8,24.9,43.0,4.93,5.38,0,Medium,Medium
72.0,63.4,59.1,2.02,8.13,2,Low,Medium
64.7,33.8,68.8,3.48,7.36,0,Medium,Medium
71.8,86.9,72.1,1.26,6.92,3,High,Medium
90.0,59.5,91.9,4.9,5.68,1,High,Low
58.5,56.6,80.1,4.25,7.76,0,High,Low
75.5,50.7,81.5,4.63,6.69,0,Medium,Low
99.3,53.3,68.8,3.35,6.86,0,Medium,Low
83.3,53.9,95.1,3.01,7.09,3,Low,Medium
68.2,41.4,57.8,1.32,6.85,0,Medium,Medium
84.9,67.3,68.0,3.64,8.17,1,High,Low
63.7,58.7,40.2,5.17,6.03,3,High,High
75.1,67.3,49.0,0.0,6.19,1,Medium,Medium
98.3,52.8,86.9,5.74,7.16,2,Medium,Low
100.0,66.1,69.0,1.99,6.74,2,High,Medium
49.4,40.2,32.9,3.89,7.64,0,Medium,High
85.5,100.0,69.0,2.0,8.09,1,Low,Low
100.0,41.1,65.2,2.97,8.64,1,Low,Low
66.8,45.8,47.2,4.38,8.14,1,Medium,Medium
78.9,71.2,76.6,2.92,6.65,2,Low,High
97.6,76.0,64.5,5.83,6.79,0,Low,Low
67.6,39.5,70.1,3.25,6.54,2,Medium,High
81.8,23.9,88.7,4.14,8.38,2,Low,Medium
74.1,28.7,57.6,2.3,6.72,0,Medium,Medium
46.1,36.0,91.4,2.46,5.97,1,Medium,High
80.2,39.7,64.5,2.61,5.74,2,Medium,High
72.2,50.9,64.7,3.93,7.89,1,Medium,Low
88.9,72.4,95.6,5.63,5.94,1,Low,Low
100.0,73.3,77.4,3.25,3.82,0,High,Low
85.3,42.8,61.7,1.32,7.85,0,Low,Low
69.5,63.5,67.5,2.3,7.4,0,High,Low
81.8,69.7,74.1,1.19,7.92,2,Medium,Medium
78.0,79.1,40.8,3.91,8.18,0,Low,Low
90.3,51.0,83.2,3.24,7.61,2,Low,Medium
53.4,40.4,69.8,1.63,7.47,1,Low,High
57.5,67.3,44.0,2.67,7.06,2,Medium,High
44.3,81.1,51.0,4.57,6.06,1,High,Medium
84.1,44.4,87.1,3.87,4.46,0,Medium,Medium
74.7,88.9,44.6,2.36,4.65,0,Low,Medium
65.4,84.7,100.0,4.3,7.45,0,High,Low
64.1,49.1,48.5,3.77,7.97,0,Low,Medium
66.4,25.6,73.9,2.4,7.04,2,Low,High
61.1,43.1,18.8,3.47,6.09,0,Medium,High
70.2,47.5,68.3,5.94,7.77,1,High,Low
67.6,63.4,59.3,1.59,6.97,3,Low,High
95.8,23.7,79.4,4.69,7.02,3,High,Medium
79.8,97.5,73.5,3.0,6.57,3,Low,Medium
62.7,95.9,63.0,4.12,5.6,2,High,Medium
66.2,40.8,100.0,3.78,5.8,2,Medium,Medium
93.0,20.3,85.0,3.61,7.47,4,Low,High
81.8,50.7,54.9,2.97,8.96,0,High,Low
79.4,61.4,76.5,3.2,9.12,2,Medium,Low
85.8,78.0,11.8,4.19,6.79,1,Medium,Low
98.8,66.6,57.8,3.87,7.55,0,Medium,Low
56.7,50.1,94.3,1.06,6.91,1,Medium,Medium
63.8,18.3,58.3,3.87,7.19,4,Medium,High
48.9,62.9,72.2,5.12,7.51,0,Medium,Low
82.4,68.9,46.3,4.51,8.1,1,High,Low
69.3,48.2,85.0,3.51,5.64,3,Medium,High
64.9,58.7,71.6,0.53,9.14,0,Low,Low
63.6,57.4,69.2,4.07,6.86,0,Low,Low
85.4,49.3,87.9,4.17,5.84,1,Medium,Low
72.9,32.9,100.0,5.34,9.79,1,Medium,Low
67.0,59.9,85.1,1.8,5.95,0,Low,Medium
93.8,28.2,34.5,2.86,6.97,2,Medium,High
59.3,78.9,77.1,2.42,6.14,2,Low,High
56.0,37.5,74.4,2.8,8.43,1,High,Low
100.0,62.6,46.2,0.67,3.8,0,Medium,Medium
69.5,40.6,36.8,2.51,7.42,1,Medium,Medium
66.8,60.5,60.9,2.57,5.11,0,Low,Medium
64.1,49.9,63.0,2.64,8.88,0,High,Low
72.9,63.3,67.6,5.53,9.54,1,High,Low
86.7,39.5,54.3,2.27,8.05,2,Low,Medium
86.3,24.3,72.0,2.54,6.08,1,Low,High
83.2,48.6,74.8,4.83,8.42,0,Medium,Low
70.8,47.4,63.1,2.36,9.65,1,Medium,Low
52.6,26.6,76.5,4.95,7.32,0,High,Low
79.2,41.2,57.1,3.84,6.57,1,Medium,Medium
97.8,23.5,37.4,2.26,8.78,1,Low,Medium
91.0,55.7,68.7,2.15,5.42,0,Medium,Medium
72.5,46.9,86.4,3.39,6.67,1,High,Low
87.0,53.9,100.0,2.89,6.95,2,Medium,Medium
69.2,100.0,26.3,3.32,7.17,1,Medium,Low
74.2,56.5,58.7,2.34,8.34,0,Medium,Low
56.5,60.4,51.3,4.04,6.84,1,Medium,Medium
70.3,64.9,74.2,2.2,5.69,1,High,Medium
77.1,51.2,51.2,2.49,5.33,2,Medium,High
72.5,43.0,71.3,2.91,6.84,2,Low,High
86.5,69.5,88.6,1.33,7.57,1,Medium,Low
100.0,72.2,53.8,2.71,8.17,1,Low,Low
94.8,1.2,67.4,2.87,7.76,0,Low,Medium
70.4,50.7,100.0,1.06,5.36,0,High,Low
64.0,47.5,86.5,0.55,7.7,2,Medium,High
65.2,43.5,36.5,4.99,6.22,0,Medium,Medium
60.3,76.0,100.0,2.78,8.58,0,Low,Low
75.5,44.0,55.3,2.96,6.65,0,Medium,Medium
81.3,69.2,75.0,2.24,6.68,0,Medium,Low
77.7,43.8,60.7,5.49,6.35,3,High,High
77.9,46.3,59.8,2.87,8.19,0,Medium,Low
77.4,66.7,55.1,0.55,6.88,0,High,Low
73.0,40.3,81.4,3.89,10.0,1,Low,Low
63.9,50.7,53.5,1.74,8.42,2,High,Medium
100.0,33.7,43.8,3.81,5.61,2,Low,High
90.7,37.7,57.6,2.98,6.98,0,Low,Medium
61.4,66.6,69.0,5.04,8.27,0,Medium,Low
61.4,64.1,28.9,3.87,7.97,4,Medium,High
66.2,33.0,84.9,2.62,7.76,3,Medium,High
75.5,32.3,54.7,5.27,7.32,2,High,Medium
93.9,99.4,83.5,7.18,5.17,2,High,Low
90.2,42.0,96.7,2.4,5.22,2,Medium,High
91.0,37.9,75.3,4.78,7.99,1,Low,Low
91.3,62.8,79.7,3.74,6.27,0,Low,Low
91.6,39.6,60.1,3.85,7.05,1,Medium,Low
86.1,47.0,55.7,1.37,7.79,1,Low,Medium
81.8,69.6,31.2,1.76,4.76,2,Medium,High
73.2,71.5,65.2,5.28,4.76,0,Medium,Low
48.8,50.0,58.2,3.42,7.67,0,Low,Medium
73.1,77.7,21.7,2.41,6.32,2,Low,High
100.0,51.0,74.5,5.85,6.6,0,High,Low
66.9,49.2,99.4,5.0,8.39,1,Low,Low
65.6,53.4,77.1,4.28,6.7,4,Medium,High
90.3,48.0,92.3,1.76,6.95,0,Medium,Low
76.2,63.0,63.7,3.19,7.37,0,High,Low
67.8,58.6,48.8,5.37,4.94,1,Low,High
98.4,39.6,70.4,0.21,9.1,1,Medium,Low
84.4,56.8,62.2,0.86,7.51,1,High,Low
86.4,43.8,46.4,2.02,6.36,1,Medium,High
66.5,43.2,89.8,4.64,8.38,0,Medium,Low
82.5,51.0,72.5,3.54,5.9,0,Medium,Low
80.6,71.9,56.0,3.9,6.19,1,Low,Medium
86.7,58.5,73.1,3.49,5.53,0,Medium,Low
92.2,76.4,66.2,3.36,6.73,0,High,Low
91.9,81.7,81.5,4.99,6.12,1,Medium,Low
77.6,52.9,100.0,8.54,7.33,1,Medium,Low
85.3,42.7,56.8,3.9,6.21,2,Low,High
57.8,39.4,45.3,5.15,7.32,0,Low,Low
84.7,58.6,96.8,2.56,7.53,1,High,Low
85.3,69.1,100.0,5.58,7.48,2,High,Low
69.2,82.0,57.0,3.36,7.46,0,Low,Low
63.4,30.0,51.0,3.48,7.11,0,Medium,Medium
74.1,70.2,45.3,2.53,6.02,0,Medium,Medium
56.8,72.9,69.1,2.09,4.62,1,Medium,High
80.1,97.4,71.4,2.41,7.43,2,Medium,Low
79.4,57.0,64.0,1.77,5.32,3,Low,High
60.8,53.0,86.0,1.3,7.41,1,Medium,Medium
75.7,26.3,52.9,5.95,6.94,2,High,Medium
91.0,39.6,57.4,3.88,6.94,1,Medium,Medium
90.9,33.8,44.2,4.69,7.01,1,Medium,Medium
90.2,35.5,97.0,3.97,7.69,1,Medium,Low
72.7,37.5,90.8,1.11,5.83,0,Medium,Medium
69.9,26.1,95.4,3.27,7.38,1,High,Medium
